product_id,product_origin_id,reviewEval,reviewEvalValues,reviewTopic
2082696229,겐조 플라워 인디에어 EDP 50ml,향/냄새,"별로예요,0-향이 괜찮아요,2-마음에 들어요,14",
2082696229,겐조 플라워 인디에어 EDP 50ml,지속력,"짧아요,1-적당해요,10-오래 유지돼요,5",
4279445040,"록시땅 핸드 로션 300ml (시어 버터, 버베나, 라벤더)",제형,"되직해요,0-적당해요,10-묽어요,0",만족도
4279445040,"록시땅 핸드 로션 300ml (시어 버터, 버베나, 라벤더)",수분감,"건조해요,0-보통이에요,7-촉촉해요,3",만족도
4279445040,"록시땅 핸드 로션 300ml (시어 버터, 버베나, 라벤더)",향/냄새,"별로예요,0-향이 괜찮아요,4-마음에 들어요,6",만족도
1000965761,록시땅 시어 버터 울트라 리치 컴포팅 크림 50ml,수분감,"건조해요,0-보통이에요,11-촉촉해요,32",사용감-보습력-향기-트러블 개선-효과
1000965761,록시땅 시어 버터 울트라 리치 컴포팅 크림 50ml,트러블,"조금 있었어요,2-잘 모르겠어요,12-전혀 없었어요,29",사용감-보습력-향기-트러블 개선-효과
1000965761,록시땅 시어 버터 울트라 리치 컴포팅 크림 50ml,제형,"되직해요,24-적당해요,17-묽어요,2",사용감-보습력-향기-트러블 개선-효과
3630110411,록시땅 시어 드라이 스킨 핸드 크림 (75ml / 150ml),제형,"되직해요,8-적당해요,26-묽어요,3",향기-발림성-보습력
3630110411,록시땅 시어 드라이 스킨 핸드 크림 (75ml / 150ml),수분감,"건조해요,1-보통이에요,8-촉촉해요,28",향기-발림성-보습력
3630110411,록시땅 시어 드라이 스킨 핸드 크림 (75ml / 150ml),향/냄새,"별로예요,0-향이 괜찮아요,11-마음에 들어요,26",향기-발림성-보습력
1000965835,록시땅 퓨어 시어 버터 150ml,수분감,"건조해요,0-보통이에요,2-촉촉해요,12",향기-용량-보습력-효과
1000965835,록시땅 퓨어 시어 버터 150ml,제형,"되직해요,7-적당해요,6-묽어요,1",향기-용량-보습력-효과
1000965835,록시땅 퓨어 시어 버터 150ml,향/냄새,"별로예요,2-향이 괜찮아요,6-마음에 들어요,6",향기-용량-보습력-효과
1000635597,록시땅 시어 라이트 컴포팅 크림 50ml,수분감,"건조해요,0-보통이에요,5-촉촉해요,9",향기-트러블 개선-사용감
1000635597,록시땅 시어 라이트 컴포팅 크림 50ml,트러블,"조금 있었어요,1-잘 모르겠어요,2-전혀 없었어요,11",향기-트러블 개선-사용감
1000635597,록시땅 시어 라이트 컴포팅 크림 50ml,제형,"되직해요,2-적당해요,10-묽어요,2",향기-트러블 개선-사용감
3896894223,"록시땅 미스트 (시어 버터, 피브완, 아쿠아 레오티에, 이모르뗄 프레셔스)",수분감,"건조해요,0-보통이에요,2-촉촉해요,9",향기-효과
3896894223,"록시땅 미스트 (시어 버터, 피브완, 아쿠아 레오티에, 이모르뗄 프레셔스)",분사력,"별로예요,0-적당해요,3-아주 좋아요,8",향기-효과
3896894223,"록시땅 미스트 (시어 버터, 피브완, 아쿠아 레오티에, 이모르뗄 프레셔스)",향/냄새,"별로예요,0-향이 괜찮아요,5-마음에 들어요,6",향기-효과
3501163957,[기프트] 록시땅 시어 버터 바디 케어 세트 (샤워 크림 & 바디 로션),제형,"되직해요,5-적당해요,24-묽어요,3",용량-보습력-향기-만족도
3501163957,[기프트] 록시땅 시어 버터 바디 케어 세트 (샤워 크림 & 바디 로션),수분감,"건조해요,0-보통이에요,18-촉촉해요,14",용량-보습력-향기-만족도
3501163957,[기프트] 록시땅 시어 버터 바디 케어 세트 (샤워 크림 & 바디 로션),향/냄새,"별로예요,2-향이 괜찮아요,18-마음에 들어요,12",용량-보습력-향기-만족도
2793160674,록시땅 아몬드 모이스쳐라이징 샤워 오일 500ml,거품,"부족해요,11-적당해요,20-풍부해요,7",세정력-용량-보습력-향기-거품-흡수
2793160674,록시땅 아몬드 모이스쳐라이징 샤워 오일 500ml,세정력,"잘 안씻겨요,1-적당히 씻겨요,28-잘 씻겨요,9",세정력-용량-보습력-향기-거품-흡수
